# Compiler warnings in the ios-sim-debug build, as of the day this gate was added.
#
# This is a ratchet, not an allow-list: new code must not add entries.
# Delete an entry when the warning stops reproducing -- a stale entry is a
# failure too, so the file cannot quietly describe a build nobody runs.
#
# A baseline is only comparable to a census taken from the SAME build. This
# one came from:
#   leg: ios-sim-debug
#   log: xcodebuild-build.log
#
# Format: <group>|<identity>|<flag>|<message-signature>|<note>
#
# identity is a repo-relative path for port code, the file name for the
# runtime, and '*' for generated code -- there the unit of authorship is the
# emitter, not the file.
#
# A <no-flag> diagnostic cannot be -Wno-'d or -Werror='d on its own. The only
# remedies for one are fixing it or a whole-file pragma.
#
# Regenerate with scripts/check-native-warnings.py --leg ios-sim-debug --write-baseline

generated|*|-Wimplicitly-unsigned-literal|integer literal is too large to be represented in a signed integer type, interpreting as unsigned|4 instance(s) when the baseline was written; not yet triaged
generated|*|-Wparentheses-equality|equality comparison with extraneous parentheses|42 instance(s) when the baseline was written; not yet triaged
generated|*|-Wunused-variable|unused variable ?|50967 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/AudioPlayer.m|-Wincomplete-implementation|method definition for ? not found|2 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1AudioUnit.m|-Wunused-variable|unused variable ?|3 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1Camera.m|-Wdeprecated-declarations|? is deprecated: first deprecated in iOS ? - Use AVCaptureDeviceDiscoverySession instead.|1 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1Crypto.m|-Warc-bridge-casts-disallowed-in-nonarc|? casts have no effect when not using ARC|10 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1Crypto.m|-Wunused-variable|unused variable ?|2 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1DragAndDrop.m|-Wunused-variable|unused variable ?|1 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wdeprecated-declarations|? is deprecated: first deprecated in iOS ? - OpenGLES API deprecated. (Define GLES_SILENCE_DEPRECATION to silence these warnings)|77 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wincompatible-pointer-types-discards-qualifiers|assigning to ? (aka ?) from ? (aka ?) discards qualifiers|3 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wint-conversion|incompatible pointer to integer conversion initializing ? (aka ?) with an expression of type ?|18 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wnonportable-include-path|non-portable path to file ?; specified path differs in case from file name on disk|1 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wpointer-sign|passing ? (aka ?) to parameter of type ? (aka ?) converts between pointers to integer types with different sign|1 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wshorten-64-to-32|implicit conversion loses integer precision: ? (aka ?) to ?|4 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wunused-function|unused function ?|1 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1ES2compat.m|-Wunused-variable|unused variable ?|10 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1Language.m|-Wunused-function|unused function ?|2 instance(s) when the baseline was written; not yet triaged
port|Ports/iOSPort/nativeSources/CN1SoundPool.m|-Wobjc-multiple-method-names|multiple methods named ? found|2 instance(s) when the baseline was written; not yet triaged
